Response ID,Date submitted,Last page,Start language,Seed,"On average, how much time do you spend playing video games each week?  [Select one option]",What types of courses have you taken at McMaster this current school year? [Select one option],"During the current school year, how often would you say you have done the following? [Combined ideas from different courses when completing assignments]","During the current school year, how often would you say you have done the following? [Connected your learning to societal problems or health-related issues]","During the current school year, how often would you say you have done the following? [Learned something that changed the way you understand an issue or concept]","During the current school year, how often would you say you have done the following? [Connected ideas from your courses to your prior experiences and knowledge]","During the current school year, how much would you say your coursework has emphasized the following? [Memorizing course material]","During the current school year, how much would you say your coursework has emphasized the following? [Applying facts, theories, or methods to practical problems or new situations]","During the current school year, how much would you say your coursework has emphasized the following? [Analyzing an idea, experience, or line of reasoning in depth by examining its parts]","During the current school year, how much would you say your coursework has emphasized the following? [Forming a new idea or understanding from various pieces of information]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Combine ideas from different courses when completing assignments]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Connecting learning to societal problems or health-related issues]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Learn something that changes the way you understand an issue or concept]","If game-based learning approaches were incorporated into one of your science courses, how do you think that this mode of learning can help with the following? [Connect ideas from your courses to your prior experiences and knowledge]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Memorizing course material]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Applying facts, theories, or methods to practical problems or new situations]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Analyzing an idea, experience, or line of reasoning in depth by examining its parts]","If BIO1A03 added a game-based learning component, how much would this improve your motivation to do the following? [Forming a new idea or understanding from various pieces of information]","How likely is it that you would play the video game Cells at War on your own time, outside of class to further consolidate material taught during this class? [Select one option]","How prepared would you feel if you were given a quiz on Pompe Disease based on the Cells at War game, compared to studying off traditional lecture slides (with accompanying readings)? [Select one option]","Going forward, would you like to see more game-based learning approaches being utilized in the classroom as an alternative to conventional teaching methods (ex. traditional lectures), especially as it applies to applications in the real world? Explain briefly.","How intuitive were the camera controls? (1 being least intuitive, 5 being most intuitive)","How intuitive were the game play elements (aiming, shooting, glucose, post-care)? (1 being least intuitive, 5 being most intuitive)","From a learning perspective, how accessible does the game feel for you? Can you suggest any improvements that would make the game more accessible for all types of learners? (1 being not accessible and 5 being very accessible)","From a learning perspective, how accessible does the game feel for you? Can you suggest any improvements that would make the game more accessible for all types of learners? (1 being not accessible and 5 being very accessible) [Comment]",Please report any major bugs in the game if applicable
24,1980-01-01 00:00:00,1,en,156778737,Very little (less than 3 hours a week),,Sometimes,Sometimes,Often,Often,Very much,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Very prepared,yes. they make learning more fun and its helpful for visualizing everything,4,4,4,the game was so fun love it,n/a
25,1980-01-01 00:00:00,1,en,1441979126,Very little (less than 3 hours a week),"Mostly remote courses (online, web-based, Zoom, etc)",Sometimes,Often,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very much,Some,Quite a bit,Some,Quite a bit,Quite a bit,Somewhat Likely,Not very prepared,"Sure. The challenges of remote learning were overwhelming at times, anything to change up the monotony would be huge for engagement.",3,4,4,"Once you got the controls down, it felt very intuitive.",
26,1980-01-01 00:00:00,1,en,802987272,I don't play video games,Mostly in-person courses,Sometimes,Sometimes,Very often,Very often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Some,Some,Some,Somewhat Likely,Not very prepared,"Maybe. It depends on the execution of the game- I like being able to visualize the scenario and so if the game allows that, it would allow for better learning.",5,4,4,,
27,1980-01-01 00:00:00,1,en,364530032,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,Sometimes,Often,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very much,Quite a bit,Very much,,Not very prepared,I would like to see more game-based learning but not as an alternative to conventional teaching methods as traditional lectures are my first preference,4,3,4,N/A,N/A
28,1980-01-01 00:00:00,1,en,1120843996,Some (between 3-10 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes, it allows for a balanced mix of methods so that we stay engaged in the content, and it might be easier to remember the content in this way",4,4,4,Moving the cell around was a little awkward,
29,1980-01-01 00:00:00,1,en,553124352,I don't play video games,Mostly in-person courses,Very often,Very often,Very often,Very often,Quite a bit,Very much,Very much,Quite a bit,Very much,Very much,Very much,Quite a bit,Very much,Very much,Very much,Very much,Somewhat Likely,Very prepared,"I think incorporating game-based learning would be beneficial. This is because as most people are already interested and used to playing video games, it would be an easy reinforcement of understanding material in a shorter period of time. In addition, hands on activities may be easier to understand concepts.",,,5,To allow it to be accessible on different browsers.,
30,1980-01-01 00:00:00,1,en,425104946,I don't play video games,A balanced mix of the above course types,Sometimes,Sometimes,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very Likely,Very prepared,"I would definitely like to see more game-based learning approaches because I am a visual learner, so having a game that I can work through would help me understand the material better. Also its different from watching a video because you are actively engaged with the material.",3,4,,,
31,1980-01-01 00:00:00,1,en,1475743373,Very little (less than 3 hours a week),A balanced mix of the above course types,Often,Sometimes,Very often,Often,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very much,Very much,Some,Very much,Very much,Very much,Somewhat Likely,Very prepared,"Yes, as a visual learner it is very helpful",5,3,5,Please let us know somewhere that it plays music before we start the game,N/A
32,1980-01-01 00:00:00,1,en,597762207,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Often,Very often,Very much,Quite a bit,Some,Some,Quite a bit,Very much,Very much,Quite a bit,Quite a bit,Very much,Very much,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes I would, I think its a good way to engage people in the content and make it more enjoyable to learn, plus you can see what you're learning in application so students can understand it more and probably do better because of it.",3,3,4,,
33,1980-01-01 00:00:00,1,en,1313699881,I don't play video games,Mostly in-person courses,Sometimes,Often,Very often,Very often,Very much,Quite a bit,Some,Some,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Very Likely,Not very prepared,I think traditional lectures should stay the way they are due to the amount of information provided. But I do think this would make applied lectures a lot better.,4,4,4,very accessible.,none.
34,1980-01-01 00:00:00,1,en,41692900,I don't play video games,A balanced mix of the above course types,Sometimes,Never,Sometimes,Sometimes,Very much,Quite a bit,Some,Some,Very little,Very little,Some,Very little,Very little,Very little,Very little,Very little,Not Likely at All,Not prepared at all,"No, I find games can lead to a lot of frustration, especially if you are unable to complete a level and move on. They can also lead to wasted time as I repeatedly attempt to pass a level without success. Also I prefer learning from live people.",4,2,2,Make it so that students can progress on to higher levels and access associated content even if they are unsuccessful at passing a given level.,
35,1980-01-01 00:00:00,1,en,1808168609,Some (between 3-10 hours per week),"Mostly remote courses (online, web-based, Zoom, etc)",Often,Sometimes,Often,Often,Some,Quite a bit,Quite a bit,Some,Some,Quite a bit,Very much,Very much,Very much,Very much,Quite a bit,Quite a bit,Very Likely,Somewhat Prepared,"I would like to see more game-based approaches, I believe a brief summary of the lesson then followed by the application of the knowledge would be the most effective.",4,5,5,The game is very accessible and makes learning easier; the controls (aiming) was sometimes difficult,N/A
36,1980-01-01 00:00:00,1,en,1682252533,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Very much,Very much,Very much,Quite a bit,Not Very Likely,Somewhat Prepared,yes because it would greatly help to understand concepts to see them work in real-time and it would also help to make learning more fun.,4,3,4,"possibly provide an in-game tutorial on the control showing how to click and drag enzymes, etc.",
37,1980-01-01 00:00:00,1,en,2048039518,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,Often,Sometimes,Very much,Quite a bit,Some,Very little,Quite a bit,Some,Very much,Some,Quite a bit,Quite a bit,Quite a bit,Some,Somewhat Likely,Somewhat Prepared,"Yes, it's a creative way to help visualize a function of a cell, without just being told how it works.",4,3,4,,
38,1980-01-01 00:00:00,1,en,1851078577,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,Very often,Very often,Quite a bit,Some,Quite a bit,Very little,Very much,Quite a bit,Very much,Very much,Very little,Very much,Very much,Very much,Somewhat Likely,Very prepared,Definitely. I am a visual learner so this would be more helpful and easier to remember.,5,5,4,"Before the game was explained by Dr da Silva, I wasn't really sure what each molecule was. Maybe it would be more useful at the start of the game to label each molecule so that it sticks better.

Also, since I am a visual learner, maybe make the design for other diseases very different so that I don't mix the images of diseases up in my head when trying to recall them in my head.",
39,1980-01-01 00:00:00,1,en,1665409893,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Often,Very often,Often,Very much,Very much,Some,Some,Some,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very Likely,Somewhat Prepared,"Yes, I would like to see more game-based learning for applications in the real world. I think this would help students better understand the disease by actually interacting and learning from the game.",4,4,5,,Hard on mouse pad
40,1980-01-01 00:00:00,1,en,1191613063,I don't play video games,A balanced mix of the above course types,Sometimes,Often,Often,Often,Very much,Very much,Very much,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Not Very Likely,Somewhat Prepared,"I really like how this game was used as an activity that the class could bond over and work alongside to complete. I really enjoyed the animations and the idea of the game as well, actually breaking the bonds was really helpful.",4,4,5,"- One thing I didn't like was that it took over 10 minutes for the game to load. As someone who may be on a limited time frame or have restricted access to technology, the loading aspect made it a less accessible.

I would also like to see a possible audio component for those who have difficulty reading. (if you need a voice over person LOL 😳)",- didn't find any !
41,1980-01-01 00:00:00,1,en,1842518408,Some (between 3-10 hours per week),"Mostly remote courses (online, web-based, Zoom, etc)",Sometimes,Sometimes,Very often,Often,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Quite a bit,Very much,Very much,Very much,Not Very Likely,Somewhat Prepared,Yes. I found I understand the content a lot better when player in an interactive game.,4,4,5,,N/A
42,1980-01-01 00:00:00,1,en,261214470,Some (between 3-10 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Sometimes,Sometimes,Very often,Often,Very much,Very much,Quite a bit,Some,Some,Very much,Quite a bit,Very much,Very much,Very much,Some,Very much,Very Likely,Not very prepared,"This game makes it easy to understand the content- putting it in a more accessible format. I would like to see a PDF or some sort of straight information that accompanies the game, maybe given after completing each level? It would be helpful to have that accompanying information without having to search or wait for it. Overall, though, this idea is really great! It makes it easier to understand the content more quickly.",4,,5,It's easier to understand the content this way.,
43,,,en,2047598706,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1980-01-01 00:00:00,1,en,1537193103,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Very often,Very often,Very often,Quite a bit,Some,Very much,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very much,Quite a bit,Somewhat Likely,Not very prepared,,5,5,4,if we could go back and select level without rewatching the whole animation that will be great!,
45,1980-01-01 00:00:00,1,en,10475160,I don't play video games,A balanced mix of the above course types,Sometimes,Often,Sometimes,Often,Quite a bit,Some,Quite a bit,Very little,Very much,Some,Quite a bit,Some,Quite a bit,Very much,Quite a bit,Quite a bit,Not Very Likely,Somewhat Prepared,"Yes! I think the game was an effective way to learn and visually understand a concept. I didn't know much about Pompe Disease before this class, and through the game I feel I have a good understanding now.",3,4,5,,
46,1980-01-01 00:00:00,1,en,1991831686,Very little (less than 3 hours a week),A balanced mix of the above course types,Often,Sometimes,Often,Often,Very much,Quite a bit,Quite a bit,Some,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"I think game-based learning approaches in the classroom would be quite effective if they are created with an emphasis on course material. Then, I believe it will create a more accessible way of understanding course material. However, if it is unrelated to the course, then it may not teach the correct things.",4,3,4,It was a pretty accessible game. I come from a background of video games but I think the timer and buildup of glycogen might be overwhelming for someone who did not. I'm not sure how this could be improved.,No bugs
47,1980-01-01 00:00:00,1,en,1243263457,I don't play video games,A balanced mix of the above course types,Sometimes,Sometimes,Sometimes,Sometimes,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,Yes. I thought that this game based learning was very engaging and took concepts learnt in class and applied them very well to real world situations.,5,5,5,,My screen froze once.
48,1980-01-01 00:00:00,1,en,743907285,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Quite a bit,Quite a bit,Quite a bit,Some,Some,Very much,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Not Very Likely,Somewhat Prepared,I think that this is a similar idea to gizmos which I know my friends and I did in highschool.I think this would be a useful tool if it was like an at home study task. This would be a good extra resource but I do not love the idea of replacing the applied lectures as I really enjoy the applied lectures.,4,4,4,Voice overs,
49,1980-01-01 00:00:00,1,en,1155008618,Very little (less than 3 hours a week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Very often,Often,Very often,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Some,Some,Very Likely,Somewhat Prepared,I would like to see this as it was very helpful in understanding exactly what was happening inside the cell and the effects of the disease. It also will be quite easy to remember the steps as the game was quite memorable.,5,4,5,It is easier to understand the content this way,
50,1980-01-01 00:00:00,1,en,1078519658,I don't play video games,Mostly in-person courses,Sometimes,Sometimes,Very often,Very often,Quite a bit,Very much,Some,Quite a bit,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,"Yes! Teaching a disease through a video game is a unique approach compared to conventional teaching methods and it helped my understanding of the material, it was fun",5,4,5,"Selecting the enzyme to shoot it was tricky at times, there were many times where I had to double tap in order to select it",The cut scenes between levels froze a bit
51,1980-01-01 00:00:00,1,en,1352919048,Very little (less than 3 hours a week),Mostly in-person courses,Often,Very often,Often,Very often,Very much,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,yes It motivates me to study or to learn in a new way,2,2,3,it does not work properly if it is not in full screen mode or if you are using a touchpad,I wish it was easier to control
52,1980-01-01 00:00:00,1,en,317730240,Very little (less than 3 hours a week),"Mostly remote courses (online, web-based, Zoom, etc)",Very often,Sometimes,Sometimes,Very often,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Some,Quite a bit,Very much,Very little,Quite a bit,Some,Very little,Not Likely at All,Not very prepared,"I would say that this is a good idea in theory, but learning the game is not as efficient as just looking over course material, although it can definitely help deepen our understanding. Outside of the applied lecture I would not play the game, since I wouldn't have the time and there are methods of learning the information that work better for me.",4,,3,,
53,1980-01-01 00:00:00,1,en,57932671,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Very often,Very often,Quite a bit,Very much,Very much,Very much,Very much,Very much,Very much,Quite a bit,Very much,Very much,Very much,Very much,Very Likely,Somewhat Prepared,"Yes, I would like to see more game-based learning approaches being utilized. This is because it is a more interactive and engaging method that also could be helpful for those who are more tactile learners.",4,3,5,,
54,1980-01-01 00:00:00,1,en,424486402,I don't play video games,Mostly in-person courses,Often,Sometimes,Often,Often,Quite a bit,Some,Quite a bit,Some,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Quite a bit,Not Very Likely,Somewhat Prepared,"yes, it helps me understand the material better and visualize it.",,4,5,,The cut scenes was a bit too long.
55,1980-01-01 00:00:00,1,en,342512994,I don't play video games,Mostly in-person courses,Very often,Sometimes,Often,Often,Some,Very much,Very much,Very much,Very much,Some,Very much,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,,,,5,,
56,1980-01-01 00:00:00,1,en,1594961509,I don't play video games,Mostly in-person courses,Never,Sometimes,Sometimes,Sometimes,Very much,Very much,Quite a bit,Quite a bit,Quite a bit,Some,Some,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Not very prepared,"yes, I would like to see more game based learning i think it is a fun way to engage students.",4,4,4,I think that the game is really accessible and easy to get the hang of once you get used to playing.,
57,1980-01-01 00:00:00,1,en,1636279796,I don't play video games,A balanced mix of the above course types,Sometimes,Sometimes,Never,Often,Quite a bit,Quite a bit,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Somewhat Likely,Somewhat Prepared,"Yes, I felt as it was a cool way to make me learn. I also liked the summarized material sections, thats quite helpful.",3,4,3,I am just not great at video games :),
58,1980-01-01 00:00:00,1,en,1671322365,Very much (greater than 20 hours per week),Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Very much,Some,Quite a bit,Some,Very much,Very much,Very much,Very much,Very much,Very much,Very much,Very much,,Very prepared,"I would definitely appreciate the inclusion of game based learning approaches , as an assistive tool for learning - not as a replacement of lectures. Perhaps the game session may be used to start each lecture, and ended with a review session for students to reflect and take some notes.",5,3,5,It's a game with low requirement which is very convenient.,No bugs faced. Would appreciate if the transition was not so laggy
60,1980-01-01 00:00:00,1,en,828645509,I don't play video games,A balanced mix of the above course types,Sometimes,Never,Often,Often,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very much,Very much,Quite a bit,Some,Quite a bit,Quite a bit,Quite a bit,Not Very Likely,Somewhat Prepared,"Yes, I would like to see more game-based learning in future courses. I found that compared to a traditional applied lecture its more interactive and you get a better understanding of the course materials and concepts.",3,3,3,It is quite sensitive while using a macbook,No major bugs!
61,1980-01-01 00:00:00,1,en,796892158,I don't play video games,A balanced mix of the above course types,Sometimes,Sometimes,Sometimes,Often,Very much,Quite a bit,Quite a bit,Some,Very much,Very much,Quite a bit,Very much,Quite a bit,Quite a bit,Very much,Quite a bit,Not Very Likely,Somewhat Prepared,Yes I think it is much more engaging.,5,5,5,,laggy sometimes
62,1980-01-01 00:00:00,1,en,1692863091,Some (between 3-10 hours per week),Mostly in-person courses,Often,Often,Very often,Very often,Very much,Very much,Very much,Very much,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very much,Very much,Very much,Very much,Somewhat Likely,Somewhat Prepared,"If a game were used to help us understand concepts in class, it would most definitely help us understand, as it would force us to look at the important components and take a hands-on approach as to what we should be focusing on, and how disease makes that important function harder.",3,3,3,,
63,1980-01-01 00:00:00,1,en,149346876,I don't play video games,Mostly hybrid or blended courses that combine in-person and remote instruction,Often,Often,Often,Often,Very much,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Quite a bit,Quite a bit,Very much,Quite a bit,Quite a bit,Quite a bit,Very Likely,Very prepared,"Yes!! I personally learn better when I have to DO something like a game to learn. It makes me WANT to learn, it makes learning fun, and I remember the concepts better. It reinforces the learning, rather than passively listening or reading a textbook.",5,5,5,It was kind of frustrating that you had to click on the green dots before you could shoot them.,
64,1980-01-01 00:00:00,1,en,71811005,I don't play video games,Mostly in-person courses,Sometimes,Often,Never,Sometimes,Very much,Very much,Very much,Very much,Some,Some,Some,Some,Some,Some,Some,Some,Not Likely at All,Not very prepared,No I would not since it mostly frustrates students and takes a lot of time with not much review.,3,3,1,Perhaps include less sensitive controls.,
